id;Data;Temp. Retal;Media T Retal;Termograma ;Media Termograma;Foto;Temp. Ambiente;Monta;Sinal de Cio;Lote;Coord_X;Coord_Y
2367;04.03.2025;39;39,035;36,8;37,705;1221.0;32.0;;;Rosa;45.0;30.0
2367;05.03.2025;38,8;39,02380952;38,1;37,72380952;1269.0;30.0;;;Rosa;39.0;38.0
2367;06.03.2025;38,9;38,98002309;38,9;37,564595;1306.0;;;;Rosa;39.0;30.0
2369;12.02.2025;39,1;39,1;37,6;36,56;330.0;31.0;;;Rosa;42.0;33.0
2369;13.02.2025;38,9;38,6;38;37,511;389.0;29.0;;;Rosa;41.0;39.0
2369;14.02.2025;38,6;38,994;37,5;37,783;460.0;28.0;;;Rosa;40.0;31.0
2369;15.02.2025;39;39;39,1;37,415;485.0;28.0;;;Rosa;43.0;36.0
2369;16.02.2025;38,8;38,685;37,1;37,52;552.0;28.0;;?;Rosa;41.0;36.0
2369;17.02.2025;39,1;39,075;37,5;38,075;607.0;33.0;true;;Rosa;48.0;35.0
2369;18.02.2025;39,3;39,005;35,6;36,3;637.0;30.0;;;Rosa;41.0;29.0
2369;19.02.2025;39;38,895;37,6;37,505;693.0;30.0;;;Rosa;34.0;36.0
2369;20.02.2025;39,6;39,31;38,9;38,805;709.0;31.0;;;Rosa;41.0;38.0
2369;21.02.2026;39,1;38,9;37,3;37,22;768.0;33.0;;;Rosa;32.0;30.0
2369;22.02.2027;39,1;38,61;36,7;37,2;782.0;31.0;;;Rosa;44.0;32.0
2369;23.02.2028;38,9;38,94;38,1;37,91;857.0;33.0;;;Rosa;43.0;31.0
2369;24.02.2029;39;38,905;37,5;37,345;885.0;31.0;;;Rosa;44.0;35.0
2369;25.02.2030;36,8;38,905;35,6;36,275;935.0;31.0;;;Rosa;45.0;33.0
2369;26.02.2031;39,4;39,315;36,9;37,68;956.0;31.0;;;Rosa;36.0;28.0
2369;27.02.2032;39,5;38,95;37,2;37,3875;1013.0;31.0;;;Rosa;39.0;37.0
2369;28.02.2033;39,4;38,97647059;37,6;37,3875;1053.0;32.0;;;Rosa;41.0;33.0
2369;01.03.2025;39,1;38,98333333;37,4;37,4;1102.0;33.0;;;Rosa;36.0;38.0
2369;02.03.2025;38,1;38,93684211;36,5;37,35263158;1118.0;27.0;;;Rosa;40.0;37.0
2369;03.03.2025;39,2;38,95;38,1;37,39;1176.0;33.0;;;Rosa;40.0;36.0
2369;04.03.2025;39,1;38,95714286;38,1;37,42380952;1219.0;32.0;;;Rosa;37.0;29.0
2369;05.03.2025;39,1;38,96363636;38,6;37,47727273;1270.0;30.0;;;Rosa;43.0;45.0
2369;06.03.2025;39,6;38,94554406;38;37,44584352;1311.0;32.0;;;Rosa;34.0;33.0
2371;12.02.2025;;39,1;;36,56;;31.0;;;Rosa;;
2371;13.02.2025;38,9;38,6;35,4;37,511;345.0;29.0;;;Rosa;54.0;38.0
2371;14.02.2025;39,2;38,994;37,3;37,783;463.0;28.0;;;Rosa;48.0;22.0
2371;15.02.2025;39,2;39;36,3;37,415;515.0;28.0;;;Rosa;45.0;31.0
2371;16.02.2025;38,7;38,685;37,4;37,52;546.0;28.0;;;Rosa;42.0;27.0
2371;17.02.2025;39,2;39,075;38,2;38,075;606.0;33.0;;;Rosa;41.0;29.0
2371;18.02.2025;39,1;39,005;33,3;36,3;626.0;30.0;;;Rosa;0.0;0.0
2371;19.02.2025;38,7;38,895;37,5;37,505;692.0;30.0;;;Rosa;41.0;31.0
2371;20.02.2025;39,6;39,31;39;38,805;721.0;31.0;;;Rosa;46.0;51.0
2371;21.02.2026;38,9;38,9;36,6;37,22;773.0;33.0;;;Rosa;41.0;32.0
2371;22.02.2027;39,1;38,61;36,7;37,2;797.0;31.0;;;Rosa;37.0;39.0
2371;23.02.2028;39;38,94;37,8;37,91;856.0;33.0;;;Rosa;42.0;33.0
2371;24.02.2029;39;38,905;37,5;37,345;897.0;31.0;;;Rosa;40.0;34.0
2371;25.02.2030;36,9;38,905;35,6;36,275;943.0;31.0;;;Rosa;42.0;23.0
2371;26.02.2031;39,2;39,315;37,5;37,68;965.0;31.0;;;Rosa;35.0;29.0
2371;27.02.2032;39,3;38,93333333;37,3;36,89333333;1025.0;31.0;;;Rosa;33.0;30.0
2371;28.02.2033;39,6;38,975;38,4;36,9875;1064.0;32.0;;;Rosa;47.0;38.0
2371;01.03.2025;39;38,97647059;38;37,04705882;1104.0;33.0;;;Rosa;45.0;37.0
2371;02.03.2025;38;38,92222222;37;37,04444444;1120.0;27.0;;;Rosa;41.0;30.0
2371;03.03.2025;39,1;38,93157895;38,1;37,1;1184.0;33.0;;;Rosa;36.0;37.0
2371;04.03.2025;39;38,935;37,7;37,13;1220.0;32.0;;;Rosa;39.0;35.0
2371;05.03.2025;38,5;38,91428571;37,6;37,15238095;1255.0;30.0;;;Rosa;40.0;34.0
2371;06.03.2025;38;38,93937575;37,6;37,32851036;1314.0;32.0;;;Rosa;38.0;36.0
2374;12.02.2025;38,8;39,1;37,4;36,56;334.0;31.0;true;;Rosa;41.0;33.0
2374;13.02.2025;38,8;38,6;37,1;37,511;341.0;29.0;;;Rosa;44.0;33.0
2374;14.02.2025;39,4;38,994;38,3;37,783;443.0;28.0;;;Rosa;43.0;35.0
2374;15.02.2025;38,9;39;37,1;37,415;492.0;28.0;;;Rosa;41.0;24.0
2374;16.02.2025;38,5;38,685;37,7;37,52;554.0;28.0;;;Rosa;46.0;36.0
2374;17.02.2025;38,9;39,075;38,4;38,075;615.0;33.0;;;Rosa;37.0;36.0
2374;18.02.2025;39;39,005;35,8;36,3;629.0;30.0;;;Rosa;40.0;28.0
2374;19.02.2025;39,7;38,895;38,5;37,505;691.0;30.0;;;Rosa;38.0;41.0
2374;20.02.2025;39,1;39,31;38,5;38,805;704.0;31.0;;;Rosa;36.0;38.0
2374;21.02.2026;38,9;38,9;36,6;37,22;765.0;33.0;;;Rosa;43.0;28.0
2374;22.02.2027;38,7;38,61;37,2;37,2;785.0;31.0;;;Rosa;64.0;41.0
2374;23.02.2028;38,9;38,94;38,1;37,91;842.0;33.0;;;Rosa;44.0;31.0
2374;24.02.2029;38,9;38,905;38;37,345;886.0;31.0;;;Rosa;45.0;33.0
2374;25.02.2030;38,6;38,905;35,3;36,275;931.0;31.0;;;Rosa;42.0;33.0
2374;26.02.2031;39,3;39,315;37,1;37,68;955.0;31.0;;;Rosa;39.0;38.0
2374;27.02.2032;39,5;38,949;38,8;97,406;987.0;31.0;;;Rosa;55.0;40.0
2374;28.02.2033;39,3;38,949;36,9;37,406;1052.0;32.0;;;Rosa;42.0;33.0
2374;01.03.2025;39,2;39,02222222;36,9;37,42777778;1096.0;33.0;;;Rosa;45.0;34.0
2374;02.03.2025;37,9;38,96315789;36,6;37,38421053;1132.0;27.0;;true;Rosa;46.0;37.0
2374;03.03.2025;40,7;39,05;38,2;37,425;1169.0;33.0;;;Rosa;45.0;27.0
2374;04.03.2025;39,1;39,05238095;37;37,4047619;1224.0;32.0;;;Rosa;40.0;32.0
2374;05.03.2025;39;39,05;37,2;37,39545455;1254.0;30.0;;;Rosa;44.0;40.0
2374;06.03.2025;39;38,96070291;36,8;40,30443832;1275.0;32.0;;true;Rosa;42.0;36.0
2378;13.02.2025;38,8;38,6;37,3;37,511;340.0;29.0;true;;Rosa;42.0;30.0
2378;14.02.2025;39,1;38,994;38,2;37,783;465.0;28.0;true;;Rosa;37.0;29.0
2378;15.02.2025;38,9;39;37,1;37,415;502.0;28.0;;;Rosa;42.0;35.0
